oyuncu,takim,tum_takimlar,transfer,mac_sayisi,gol_sayisi,gol_ort,sari_kart,kirmizi_kart,toplam_dakika
ECRİN NAZ ŞENTÜRK,ŞİLE BİLGİDOĞA,ŞİLE BİLGİDOĞA,False,2,0,0.0,0,0,103
GÖZDE UÇAR,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,2,0,0.0,0,0,69
MEVLÜDE MELEK OKUYAN,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,2,0,0.0,0,0,49
BÜŞRA KENET,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,2,0,0.0,0,0,180
ECE AYDIN,ŞİLE BİLGİDOĞA,ŞİLE BİLGİDOĞA,False,2,0,0.0,0,0,180
DİLARASU PILIÇ,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,1,1,1.0,0,0,35
SÜMEYRA KIVANÇ,ŞİLE BİLGİDOĞA,ŞİLE BİLGİDOĞA,False,1,0,0.0,0,0,90
NİSA DEREN KANDEMİR,ŞİLE BİLGİDOĞA,ŞİLE BİLGİDOĞA,False,1,0,0.0,0,0,0
NAZLI PEKER,ŞİLE BİLGİDOĞA,ŞİLE BİLGİDOĞA,False,1,0,0.0,0,0,0
MERVE NUR TAŞUCU,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,1,0,0.0,0,0,7
SÜMEYYE TERTEMİZ,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,1,0,0.0,0,0,0
CHUENE PRECIOUS MORIFI,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,1,0,0.0,0,0,20
ZEYNEP ERDOĞAN,FATİH VATAN SPOR,FATİH VATAN SPOR,False,1,0,0.0,1,0,90
DENİZ AY,FATİH VATAN SPOR,FATİH VATAN SPOR,False,1,0,0.0,0,0,80
BUSE NUR KARATAŞ,FATİH VATAN SPOR,FATİH VATAN SPOR,False,1,0,0.0,0,0,44
BEREN LİVA ÇEŞTAN,FATİH VATAN SPOR,FATİH VATAN SPOR,False,1,0,0.0,0,0,10
ELİFENUR KARABULUT,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,1,0,0.0,0,0,90
SOULAIMA JABRANI,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,1,0,0.0,0,0,8
SENEM DUMAN,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,1,0,0.0,0,0,8
DAMLA GENÇ,FATİH VATAN SPOR,FATİH VATAN SPOR,False,1,0,0.0,0,0,0
DURU ARSLAN,FATİH VATAN SPOR,FATİH VATAN SPOR,False,1,0,0.0,0,0,0
NEHİR KAYA,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,1,0,0.0,0,0,15
HACER ARICI,FATİH VATAN SPOR,FATİH VATAN SPOR,False,1,0,0.0,0,0,5
NAGİHAN BULUT,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,1,0,0.0,0,0,30
BEYZA KAYGUSUZ,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,1,0,0.0,0,0,17
BÜŞRA BERFİN EREN,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,1,0,0.0,0,0,7
HAZAL KÖKSALDI,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,1,0,0.0,0,0,0
İREM PEHLİVAN,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,1,0,0.0,0,0,90
GAMZE AĞIRMAN,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,1,0,0.0,0,0,11
ZEYNEP AKDENİZ,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,1,0,0.0,0,0,90
GÖKCE ALMILA ÖZCAN,ŞİLE BİLGİDOĞA,ŞİLE BİLGİDOĞA,False,1,0,0.0,0,0,20
